domain,subdomain,repo_name,repo_id,domain_project_description,subdomain_project_description,pipeline_id,pipeline_status,pipeline_created_at,pipeline_updated_at,pipeline_duration,branch_name,commit_sha,branch_flow_violation,merge_request_id,merge_request_source_branch,merge_request_target_branch,merge_request_state,job_name,job_status,job_duration,job_stage,job_created_at,job_started_at,job_finished_at,job_actual_duration,projectID
E2E_Supply_Chain,Product_Attribution,Product_Attribution_Sdp_Pattern_3,312657,,1007290,46240765,success,2025-09-02 07:36:30.968000+00:00,2025-09-02 08:36:48.292000+00:00,,sit,dad39adb68e6250564393804a17c1185efe6309b,0,3986186.0,dev,sit,merged,generate-ci-cd-config,success,14.038799,.pre,2025-09-02 07:36:30.988000+00:00,2025-09-02 07:36:33.120000+00:00,2025-09-02 07:36:47.159000+00:00,14.039,1007290
E2E_Supply_Chain,Product_Attribution,Product_Attribution_Sdp_Pattern_3,312657,,1007290,46239086,success,2025-09-02 06:56:35.205000+00:00,2025-09-02 07:34:30.696000+00:00,,dev,c7df0e9b99262f6398a1cb40e8d91027ea94d3a3,1,3986186.0,dev,sit,merged,generate-ci-cd-config,success,12.453216,.pre,2025-09-02 06:56:35.225000+00:00,2025-09-02 06:56:40.698000+00:00,2025-09-02 06:56:53.151000+00:00,12.453,1007290
E2E_Supply_Chain,Product_Attribution,Product_Attribution_Sdp_Pattern_3,312657,,1007290,46238459,success,2025-09-02 06:38:22.427000+00:00,2025-09-02 06:43:36.810000+00:00,,Feature_Q2,e82d33d990cc89b555884cbe3b6c3abbc937c2b7,0,3985993.0,Feature_Q2,dev,merged,generate-ci-cd-config,success,13.965216,.pre,2025-09-02 06:38:22.445000+00:00,2025-09-02 06:38:23.380000+00:00,2025-09-02 06:38:37.345000+00:00,13.965,1007290
E2E_Supply_Chain,Product_Attribution,Product_Attribution_Cdp,316226,,1007290,46239502,success,2025-09-02 07:05:01.601000+00:00,2025-09-02 07:34:39.238000+00:00,,sit,22408bd627f0170c5764adbb4ba7456a6071ce74,0,3986036.0,dev,sit,merged,generate-ci-cd-config,success,19.248933,.pre,2025-09-02 07:05:01.618000+00:00,2025-09-02 07:05:06.592000+00:00,2025-09-02 07:05:25.841000+00:00,19.249,1007290
E2E_Supply_Chain,Product_Attribution,Product_Attribution_Cdp,316226,,1007290,46237852,success,2025-09-02 06:28:07.389000+00:00,2025-09-02 07:02:18.937000+00:00,,dev,38411bc67ffdc50c2d30fa02e64dc54ba1d24306,1,3986036.0,dev,sit,merged,generate-ci-cd-config,success,12.137738,.pre,2025-09-02 06:28:07.416000+00:00,2025-09-02 06:28:11.624000+00:00,2025-09-02 06:28:23.761000+00:00,12.137,1007290
E2E_Supply_Chain,Product_Attribution,Product_Attribution_Cdp,316226,,1007290,46237541,success,2025-09-02 06:17:14.367000+00:00,2025-09-02 06:23:30.573000+00:00,,Feature_FY26Q2,eb339f9b35a37ae9012093aa92b0097b61743d68,0,3985767.0,Feature_FY26Q2,dev,merged,generate-ci-cd-config,success,12.95706,.pre,2025-09-02 06:17:14.433000+00:00,2025-09-02 06:17:15.618000+00:00,2025-09-02 06:17:28.575000+00:00,12.957,1007290
Deliver,Inbound,Inbound_Sdp_Pattern_1,312450,1007175,,45652964,running,2025-08-14 11:22:13.504000+00:00,2025-08-14 11:22:17.663000+00:00,,main,075d060971a171e292ae65f54de8f4ff9a3acf9b,0,3949506.0,sit,main,merged,generate-ci-cd-config,success,16.085202,.pre,2025-08-14 11:22:13.514000+00:00,2025-08-14 11:22:15.519000+00:00,2025-08-14 11:22:31.605000+00:00,16.086,1007175
Deliver,Inbound,Inbound_Sdp_Pattern_1,312450,1007175,,45650747,success,2025-08-14 10:20:00.366000+00:00,2025-08-14 10:22:42.759000+00:00,,main,075d060971a171e292ae65f54de8f4ff9a3acf9b,0,3949506.0,sit,main,merged,generate-ci-cd-config,success,12.585945,.pre,2025-08-14 10:20:00.373000+00:00,2025-08-14 10:20:03.639000+00:00,2025-08-14 10:20:16.225000+00:00,12.586,1007175
Deliver,Inbound,Inbound_Sdp_Pattern_1,312450,1007175,,45650668,running,2025-08-14 10:17:09.813000+00:00,2025-08-14 10:17:10.915000+00:00,,sit,ff60149811616a9b9037ae27ac18044d0cb0ef59,1,3949506.0,sit,main,merged,generate-ci-cd-config,success,12.845243,.pre,2025-08-14 10:17:09.823000+00:00,2025-08-14 10:17:10.264000+00:00,2025-08-14 10:17:23.109000+00:00,12.845,1007175
Deliver,Inbound,Inbound_Sdp_Pattern_1,312450,1007175,,45650544,running,2025-08-14 10:13:13.409000+00:00,2025-08-14 10:13:18.109000+00:00,,dev,bf5865ebe16752da72e79ae38593b8fe0cead69f,1,3949499.0,dev,sit,merged,generate-ci-cd-config,success,12.117257,.pre,2025-08-14 10:13:13.469000+00:00,2025-08-14 10:13:16.321000+00:00,2025-08-14 10:13:28.438000+00:00,12.117,1007175
